"V1" "V2" "V3" "V4" "V5" "V6"
0.220895489677787 0.753884728997946 0.509286326356232 0.157482825918123 0.0192291019484401 0.216015486046672
0.256272710859776 0.769824197515845 0.297628181055188 0.446095338789746 0.382307835621759 0.290980332996696
0.248120520962402 0.854967069812119 0.209600749658421 0.462494816863909 0.398014341248199 0.499136602971703
0.164967675693333 0.995393268764019 0.567338966066018 0.527112374082208 0.0307121113874018 0.328969171270728
0.205268815392628 0.867372033651918 0.454326652921736 0.367058934643865 0.451482631266117 0.2725348577369
0.0830194533336908 0.948124538408592 0.258694550488144 0.307647127192467 0.372628849931061 0.414760702755302
0.351243900600821 0.816150391241536 0.627721049357206 0.445989568484947 0.271935955854133 0.229604348074645
0.0223838889505714 0.627137281466275 0.129336476093158 0.56757142348215 0.111752331955358 0.456828613765538
0.257709783036262 0.875512046506628 0.443386757280678 0.254515702603385 0.211817619390786 0.3858998559881
0.120962746674195 0.66744215413928 0.460226540453732 0.105675698956475 0.0842980612069368 0.169059058185667
0.530016541248187 0.563529448118061 0.466277717147022 0.247000728035346 0.0993443231564015 0.0851607182994485
0.42161320336163 0.53630235674791 0.425761409336701 0.392158002825454 0.168294322676957 0.250452627660707
0.218101028120145 0.588144049979746 0.231239943066612 0.106522590387613 0.160397097934037 0.188078208593652
0.22883358458057 0.554199411533773 0.6328458879143 0.106503648217767 0.0650638525839895 0.137508265441284
0.565614848397672 0.545185810653493 0.672316173324361 0.441102749900892 0.150740555021912 0.600932151312009
