"V1" "V2"
1113298651.04376 0.00137870800631059
1186598433.95699 0.00137242521992851
1156328773.94104 0.00131032743414371
813125218.656998 0.000811401590296915
1112657995.43761 0.00132191278862643
1119987830.50283 0.00131968106246274
1314426633.4777 0.00146713428316842
1205789040.08545 0.00145272789367723
1268305397.36898 0.00134581480941403
1098252327.72486 0.00137124720123717
1359254115.04488 0.00133625292717567
930461560.199655 0.0013180284996783
1093789686.60394 0.00134993162049852
1157080896.73113 0.00122986502106409
1291069982.13046 0.00138031253779869
1137299824.99499 0.00143881948047798
1115105749.94051 0.00123187348129521
1485530565.62586 0.00162362350882859
1076498380.93107 0.00122398899232435
1366797836.12843 0.0016904186472533
